STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1996,,1.360263,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1997,,0.5890939,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1998,,0.06983788,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1999,,0.684029,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000,,1.512961,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2001,,2.738472,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2002,,1.019623,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2003,,0.2869591,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2004,,1.161682,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2005,,1.363855,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2006,,1.856742,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CHE,Switzerland,A,Annual,N,National,CPI,Consumer price index,PA,Percent per annum,CP041,Actual rentals for housing,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2007,,2.304422,,A,Normal value,,,,,,,2,Two
